ad,marka,fiyat,indirimli_fiyat,indirim_orani,url,kategori,zaman,site,tarih,analiz_fiyati,cinsiyet
Derimod studio kadın leopar bağcıklı desenli sneaker,Derimod,7999.99,2399.99,70.0,https://derimod.com.tr/products/derimod-studio-kadin-leopar-bagcikli-desenli-sneaker-25afd4353w2-5637145453,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2399.99,Kadın
Derimod studio kadın siyah bağcıklı kalın tabanlı sneaker,Derimod,8999.99,2699.99,70.0,https://derimod.com.tr/products/derimod-studio-kadin-gumus-bagcikli-kalin-tabanli-sneaker-25afd435114-5637145591,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2699.99,Kadın
Derimod studio kadın siyah bağcıklı kalın tabanlı sneaker,Derimod,8999.99,2699.99,70.0,https://derimod.com.tr/products/derimod-studio-kadin-beyaz-bagcikli-kalin-tabanli-sneaker-25afd43526f-5637145326,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,2699.99,Kadın
Derimod studio erkek gri bağcıklı kalın tabanlı sneaker,Derimod,8999.99,2699.99,70.0,https://derimod.com.tr/products/derimod-studio-erkek-siyah-bagcikli-kalin-tabanli-sneaker-25wfd780114-5637145339,Erkek Spor Ayakkabı,2026-05-06 00:16:20,Derimod,2026-05-06,2699.99,Erkek
Geox kadın beyaz spherica ecub-2 bağcıklı deri sneaker,Derimod,9999.99,2999.99,70.0,https://derimod.com.tr/products/geox-kadin-beyaz-spherica-ecub-2-bagcikli-deri-sneaker-d46wva00085c1000,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2999.99,Kadın
Derimod zero kadın gri kalın tabanlı bağcıklı kumaş sneaker,Derimod,5499.99,1899.99,65.5,https://derimod.com.tr/products/derimod-zero-kadin-gri-kalin-tabanli-bagcikli-kumas-sneaker-25sfd43166f,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,1899.99,Kadın
Derimod zero kadın bej kalın tabanlı bağcıklı kumaş sneaker,Derimod,5499.99,1899.99,65.5,https://derimod.com.tr/products/derimod-zero-kadin-bej-kalin-tabanli-bagcikli-kumas-sneaker-25sfd43166f,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,1899.99,Kadın
Derimod zero kadın vizon bağcıklı kalın tabanlı sneaker,Derimod,4749.99,1699.99,64.2,https://derimod.com.tr/products/derimod-zero-kadin-bej-bagcikli-kalin-tabanli-sneaker-25sfd43146f,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,1699.99,Kadın
Derimod zero kadın bej bağcıklı kalın tabanlı sneaker,Derimod,4749.99,1699.99,64.2,https://derimod.com.tr/products/derimod-zero-kadin-vizon-bagcikli-kalin-tabanli-sneaker-25sfd43146f,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,1699.99,Kadın
Kadın çok renkli bağcıklı kalın tabanlı örgülü sneaker,Derimod,5499.99,1999.99,63.6,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-orgulu-sneaker-25sfd43086f,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,1999.99,Kadın
Erkek bej bağcıklı kalın tabanlı sneaker,Derimod,5999.99,2299.99,61.7,https://derimod.com.tr/products/erkek-siyah-bagcikli-kalin-tabanli-sneaker-25sfd76016f,Erkek Spor Ayakkabı,2026-04-28 01:26:27,Derimod,2026-04-28,2299.99,Erkek
Erkek siyah bağcıklı kalın tabanlı sneaker,Derimod,5999.99,2299.99,61.7,https://derimod.com.tr/products/erkek-bej-bagcikli-kalin-tabanli-sneaker-25sfd76016f,Erkek Spor Ayakkabı,2026-04-28 01:26:27,Derimod,2026-04-28,2299.99,Erkek
Kadın bej bağcıklı kalın tabanlı sneaker,Derimod,6999.99,2699.99,61.4,https://derimod.com.tr/products/kadin-beyaz-bagcikli-kalin-tabanli-sneaker-25sfe49626f,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2699.99,Kadın
Kadın beyaz bağcıklı kalın tabanlı sneaker,Derimod,6999.99,2699.99,61.4,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-sneaker-25sfe49626f-5637145330,Kadın Spor Ayakkabı,2026-05-06 00:15:31,Derimod,2026-05-06,2699.99,Kadın
Kadın siyah bağcıklı süet deri sneaker,Derimod,5749.99,2299.99,60.0,https://derimod.com.tr/products/kadin-kahverengi-bagcikli-suet-deri-sneaker-25afd370910-5637145360,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2299.99,Kadın
Erkek kahverengi bağcıklı süet deri sneaker,Derimod,6499.99,2599.99,60.0,https://derimod.com.tr/products/erkek-kahverengi-bagcikli-suet-deri-sneaker-25wfd613010-5637145360,Erkek Spor Ayakkabı,2026-04-28 01:26:27,Derimod,2026-04-28,2599.99,Erkek
Erkek siyah kalın tabanlı deri sneaker,Derimod,6499.99,2599.99,60.0,https://derimod.com.tr/products/erkek-siyah-kalin-tabanli-deri-sneaker-25wfd604914-5637145339,Erkek Spor Ayakkabı,2026-04-28 01:26:27,Derimod,2026-04-28,2599.99,Erkek
Kadın siyah bağcıklı kalın tabanlı deri sneaker,Derimod,6749.99,2699.99,60.0,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-deri-sneaker-25afd142014-5637145330,Kadın Spor Ayakkabı,2026-04-28 01:25:37,Derimod,2026-04-28,2699.99,Kadın
