,kategori,site,analiz_fiyati
0,Erkek Günlük Ayakkabı,FLO,2224.99
1,Erkek Spor AyakkabÄ±,Ayakkabı Dünyası,4069.75
2,Erkek Spor AyakkabÄ±,Derimod,4500.93
3,Erkek Spor Ayakkabı,Ayakkabı Dünyası,3868.54
4,Erkek Spor Ayakkabı,Derimod,4631.06
5,Erkek Spor Ayakkabı,FLO,2628.09
6,KadÄ±n Spor AyakkabÄ±,Ayakkabı Dünyası,4096.63
7,KadÄ±n Spor AyakkabÄ±,Derimod,4079.67
8,KadÄ±n Spor AyakkabÄ±,InStreet,3430.05
9,Kadın Günlük Ayakkabı,FLO,1902.75
10,Kadın Spor Ayakkabı,Ayakkabı Dünyası,4140.99
11,Kadın Spor Ayakkabı,Derimod,4110.76
12,Kadın Spor Ayakkabı,FLO,2536.44
13,Kadın Spor Ayakkabı,InStreet,3721.06
14,İndirimli Ürünler,FLO,2887.35
