ad,marka,fiyat,indirimli_fiyat,indirim_orani,site,url,kategori,zaman,tarih,analiz_fiyati,cinsiyet
ROSE W Bej Kadın Comfort Ayakkabı,PROSHOT,35001000.0,999.99,100.0,FLO,https://www.flo.com.tr/urun/proshot-rose-w-bej-kadin-comfort-ayakkabi-102694355,Kadın Spor Ayakkabı,2026-06-18 22:26:45,2026-06-18,999.99,Kadın
ROSE W Siyah Kadın Comfort Ayakkabı,PROSHOT,35001000.0,999.99,100.0,FLO,https://www.flo.com.tr/urun/proshot-rose-w-siyah-kadin-comfort-ayakkabi-102694356,Kadın Spor Ayakkabı,2026-06-18 22:26:45,2026-06-18,999.99,Kadın
VERNA 5FX Siyah Kadın Sneaker,Kinetix,35001000.0,1199.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-verna-5fx-siyah-kadin-sneaker-101949837,Kadın Spor Ayakkabı,2026-06-18 22:26:45,2026-06-18,1199.99,Kadın
VERNA 5FX Beyaz Kadın Sneaker,Kinetix,35001000.0,1199.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-verna-5fx-beyaz-kadin-sneaker-101949836,Kadın Spor Ayakkabı,2026-06-18 22:26:45,2026-06-18,1199.99,Kadın
SELER W 6FX Beyaz Kadın Sneaker,Kinetix,35001000.0,1499.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-seler-w-6fx-beyaz-kadin-sneaker-102203342,Kadın Spor Ayakkabı,2026-06-18 22:26:45,2026-06-18,1499.99,Kadın
MOONLIGHT TX W 6FX Siyah Kadın Comfort Ayakkabı,Kinetix,35001000.0,1499.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-moonlight-tx-w-6fx-siyah-kadin-comfort-ayakkabi-102200308,Kadın Spor Ayakkabı,2026-06-18 22:26:45,2026-06-18,1499.99,Kadın
FERON TX 6FX Siyah Erkek Koşu Ayakkabısı,Kinetix,35001000.0,1599.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-feron-tx-6fx-siyah-erkek-kosu-ayakkabisi-102200271,Erkek Spor Ayakkabı,2026-06-18 22:25:48,2026-06-18,1599.99,Erkek
KORT PU HI 5FX Beyaz Erkek High Sneaker,Kinetix,35001000.0,1599.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-kort-pu-hi-5fx-beyaz-erkek-high-sneaker-101934181,Erkek Spor Ayakkabı,2026-06-18 22:25:48,2026-06-18,1599.99,Erkek
FERON TX 6FX Laci Erkek Koşu Ayakkabısı,Kinetix,35001000.0,1599.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-feron-tx-6fx-laci-erkek-kosu-ayakkabisi-102200275,Erkek Spor Ayakkabı,2026-06-18 22:25:48,2026-06-18,1599.99,Erkek
MONTOYA PU 5PR Siyah Erkek Koşu Ayakkabısı,Kinetix,35001000.0,1799.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-montoya-pu-5pr-siyah-erkek-kosu-ayakkabisi-102020198,Erkek Spor Ayakkabı,2026-06-18 22:25:48,2026-06-18,1799.99,Erkek
MONTOYA TX 5PR Siyah Erkek Koşu Ayakkabısı,Kinetix,35001000.0,1799.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-montoya-tx-5pr-siyah-erkek-kosu-ayakkabisi-102020215,Erkek Spor Ayakkabı,2026-06-20 18:40:19,2026-06-20,1799.99,Erkek
KENZIE TX 5FX Gri Erkek Koşu Ayakkabısı,Kinetix,35001000.0,1899.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-kenzie-tx-5fx-gri-erkek-kosu-ayakkabisi-101950641,Erkek Spor Ayakkabı,2026-06-18 22:25:48,2026-06-18,1899.99,Erkek
ARDEN 5PR Beyaz Erkek Sneaker,Kinetix,35001000.0,1999.99,100.0,FLO,https://www.flo.com.tr/urun/kinetix-arden-5pr-beyaz-erkek-sneaker-102022854,Erkek Spor Ayakkabı,2026-06-18 22:25:48,2026-06-18,1999.99,Erkek
