tarih,site,Ortalama_Fiyat,Ortalama_Indirim,Urun_Sayisi
2026-04-28,Derimod,4102.64,21.44,759
2026-04-28,FLO,2444.86,6.55,342
2026-05-06,Ayakkabı Dünyası,3971.86,-0.32,970
2026-05-06,Derimod,3932.37,22.25,755
2026-05-06,FLO,2411.2,5.96,339
2026-05-11,InStreet,3693.92,1.44,39
2026-05-17,Ayakkabı Dünyası,4052.67,-0.3,1000
2026-05-17,Derimod,4576.86,10.9,761
2026-05-17,InStreet,3550.38,0.0,39
2026-05-20,Ayakkabı Dünyası,4052.72,-0.3,996
2026-05-20,Derimod,4584.75,10.75,761
2026-05-20,InStreet,3527.28,1.44,39
2026-05-26,Ayakkabı Dünyası,4028.51,-0.3,534
2026-05-26,Derimod,4642.02,9.2,320
2026-05-26,InStreet,3843.04,0.0,25
